t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2008-08-25,log_density,1150,5747,6.15039486722023,6.0486398868466456,-2.7963030572884033,0.9976448607789176,0.9596844007099171,0.08866142705626888,0.30898668035476395
2008-08-25,unweighted,5747,0,,,,,,,
2008-08-25,1_over_t,5747,0,,,,,,,
2008-09-01,log_density,1150,5747,6.130585982845272,6.029751255833973,-2.7707267775395223,0.9977210573382833,0.9597921583440348,0.08708254613430462,0.3085734662066208
2008-09-01,unweighted,5747,0,,,,,,,
2008-09-01,1_over_t,5747,0,,,,,,,
2008-09-08,log_density,1150,5747,6.107462301006478,6.010818339677448,-2.742907763935065,0.9977748711732953,0.9598992693059339,0.08576724849844738,0.30816218272816065
2008-09-08,unweighted,5747,0,,,,,,,
2008-09-08,1_over_t,5747,0,,,,,,,
2008-09-15,log_density,1150,5747,6.08718482065882,5.9918403859053395,-2.716478516142246,0.9978241400802192,0.9600057016263527,0.08444139232190466,0.30775296066036784
2008-09-15,unweighted,5747,0,,,,,,,
2008-09-15,1_over_t,5747,0,,,,,,,
2008-09-22,log_density,1150,5747,6.068084751533089,5.9728166220329975,-2.6918222712842557,0.9979057566639792,0.960111422090688,0.08278905138143751,0.3073459361985034
2008-09-22,unweighted,5747,0,,,,,,,
2008-09-22,1_over_t,5747,0,,,,,,,
2008-09-29,log_density,1150,5747,6.048196100611702,5.953746254822133,-2.666265864444129,0.9979697935521356,0.9602163961824185,0.08118356598508442,0.30694125123725774
2008-09-29,unweighted,5747,0,,,,,,,
2008-09-29,1_over_t,5747,0,,,,,,,
2008-10-06,log_density,1150,5747,6.032134270701732,5.934628469505102,-2.644338764918274,0.9980528830523022,0.9603205880234399,0.07902390328781074,0.30653905362854045
2008-10-06,unweighted,5747,0,,,,,,,
2008-10-06,1_over_t,5747,0,,,,,,,
2008-10-13,log_density,1150,5747,6.013552178553468,5.915462428971245,-2.6201182781787367,0.9981182542031547,0.9604239603111137,0.07731841992954296,0.30613949745266467
2008-10-13,unweighted,5747,0,,,,,,,
2008-10-13,1_over_t,5747,0,,,,,,,
2008-10-20,log_density,1150,5747,5.993191548844592,5.896247272913947,-2.5946600592238696,0.998170508732675,0.9605264742518125,0.07578413950142261,0.3057427433037352
2008-10-20,unweighted,5747,0,,,,,,,
2008-10-20,1_over_t,5747,0,,,,,,,
2008-10-27,log_density,1150,5747,5.976989187134819,5.876982116935032,-2.5726748569598783,0.9982471285854312,0.9606280894907324,0.07386571971257865,0.3053489585901064
2008-10-27,unweighted,5747,0,,,,,,,
2008-10-27,1_over_t,5747,0,,,,,,,
2008-11-03,log_density,1150,5747,5.960099923542231,5.8576660516049,-2.549878646638554,0.9983141319321471,0.9607287640377209,0.07191777131983168,0.30495831785083893
2008-11-03,unweighted,5747,0,,,,,,,
2008-11-03,1_over_t,5747,0,,,,,,,
2008-11-10,log_density,1150,5747,5.940509916139035,5.838298141474797,-2.524446516200058,0.9983569371671398,0.9608284541888509,0.07063017943411454,0.30457100308914953
2008-11-10,unweighted,5747,0,,,,,,,
2008-11-10,1_over_t,5747,0,,,,,,,
2008-11-17,log_density,1150,5747,5.924367633093773,5.8188774240387895,-2.5027511254598345,0.9984293577488991,0.9609271144434528,0.06848233841782495,0.3041872041239217
2008-11-17,unweighted,5747,0,,,,,,,
2008-11-17,1_over_t,5747,0,,,,,,,
2008-11-24,log_density,1150,5747,5.903903085690928,5.799402908642184,-2.4774834111303505,0.9984651136836377,0.961024697416288,0.06720366818929577,0.3038071189604231
2008-11-24,unweighted,5747,0,,,,,,,
2008-11-24,1_over_t,5747,0,,,,,,,
2008-12-01,log_density,1150,5747,5.8827295927661964,5.77987357533272,-2.4508517746943426,0.9984931930816616,0.9611211537445272,0.06601852843752798,0.3034309541814612
2008-12-01,unweighted,5747,0,,,,,,,
2008-12-01,1_over_t,5747,0,,,,,,,
2008-12-08,log_density,1150,5747,5.862633731766119,5.760288373650926,-2.425124538082412,0.9985315826996277,0.9612164319891638,0.06481239318776116,0.30305892536030127
2008-12-08,unweighted,5747,0,,,,,,,
2008-12-08,1_over_t,5747,0,,,,,,,
2008-12-15,log_density,1150,5747,5.844575807097087,5.740646221356243,-2.4017823798396307,0.998583142972207,0.9613104785304699,0.06316682408307242,0.3026912574967709
2008-12-15,unweighted,5747,0,,,,,,,
2008-12-15,1_over_t,5747,0,,,,,,,
2008-12-22,log_density,1150,5747,5.825566358537479,5.7209460030834425,-2.3773280498890026,0.9986121245925753,0.9614032374570586,0.061825106406115694,0.30232818547808754
2008-12-22,unweighted,5747,0,,,,,,,
2008-12-22,1_over_t,5747,0,,,,,,,
2008-12-29,log_density,1150,5747,5.805594050987594,5.701186568926153,-2.351881244209288,0.9986359940162922,0.9614946504480915,0.06054621265404412,0.30196995456606235
2008-12-29,unweighted,5747,0,,,,,,,
2008-12-29,1_over_t,5747,0,,,,,,,
2009-01-05,log_density,1150,5747,5.788723256303129,5.68136673294113,-2.3298263202490688,0.9986814528614995,0.9615846566481209,0.059188485313171946,0.30161682091246655
2009-01-05,unweighted,5747,0,,,,,,,
2009-01-05,1_over_t,5747,0,,,,,,,
2009-01-12,log_density,1150,5747,5.766530149713429,5.661485271568913,-2.3018936836306025,0.9986919351130682,0.9616731925340175,0.058539960059036056,0.3012690521044897
2009-01-12,unweighted,5747,0,,,,,,,
2009-01-12,1_over_t,5747,0,,,,,,,
2009-01-19,log_density,1150,5747,5.747378510088652,5.641540921964772,-2.2777306609592785,0.9987213494853313,0.9617601917733843,0.05748199957053887,0.30092692774237306
2009-01-19,unweighted,5747,0,,,,,,,
2009-01-19,1_over_t,5747,0,,,,,,,
